#CF1a	Mx	My	Mz
-0.0015870	39.8991300	-11.7159600	-2.5843530
-0.0022584	39.8991300	-11.7159600	-2.5267400
-0.0026551	39.8991300	-11.7159600	-2.4979340
-0.0028687	39.7263500	-11.7159600	-2.4691270
-0.0032044	39.6975600	-11.5132300	-2.4691270
-0.0036927	39.6399700	-11.4553100	-2.4691270
-0.0042116	39.6111700	-11.3973800	-2.4403210
-0.0048219	39.6111700	-11.3394600	-2.4403210
-0.0054323	39.6111700	-11.2815300	-2.4115150
-0.0057680	39.6111700	-11.2236100	-2.4115150
-0.0057680	39.5823700	-11.1946500	-2.4115150
-0.0056764	39.5535700	-11.1656800	-2.4115150
-0.0054018	39.5535700	-11.1656800	-2.4115150
-0.0050661	39.5535700	-11.1367200	-2.4115150
-0.0045778	39.7839500	-11.1367200	-2.4115150
-0.0042421	39.9855200	-11.1367200	-2.4403210
-0.0036927	40.0143200	-11.1656800	-2.4979340
-0.0026856	40.0143200	-11.4553100	-2.5267400
-0.0016175	40.0143200	-11.5421900	-2.5267400
-0.0007935	40.0143200	-11.7738900	-2.5555470
-0.0000305	40.0143200	-11.8318100	-2.5843530
0.0008850	40.0143200	-12.0345500	-2.6131600
0.0016480	40.0143200	-12.0635100	-2.6419660
0.0022584	40.0143200	-12.1214300	-2.6419660
0.0028077	39.9279300	-12.1504000	-2.6419660
0.0032044	39.9279300	-12.1504000	-2.6419660
0.0032350	39.7263500	-12.2372800	-2.6419660
0.0029603	39.6975600	-12.2662400	-2.6419660
0.0026246	39.6975600	-12.2952100	-2.6419660
0.0022279	39.6975600	-12.2952100	-2.6419660
0.0018006	39.6975600	-12.2952100	-2.6419660
0.0014039	39.6975600	-12.1793600	-2.6131600
0.0010681	39.4671800	-12.1214300	-2.5843530
0.0002441	39.4383900	-11.9187000	-2.5555470
-0.0009766	39.4383900	-11.8607700	-2.5267400
-0.0021973	39.4671800	-11.6580400	-2.4979340
-0.0030213	39.5535700	-11.6001200	-2.4691270
-0.0035401	39.5823700	-11.3973800	-2.4403210
-0.0036012	39.5823700	-11.3105000	-2.4115150
-0.0038148	39.3520000	-11.1367200	-2.3827080
-0.0042116	39.3232000	-11.0498400	-2.3539020
-0.0052492	39.3232000	-10.8760600	-2.3250950
-0.0064089	39.5823700	-10.8181400	-2.3250950
-0.0075991	39.8991300	-10.7312500	-2.2962890
-0.0085452	40.2159000	-10.4995600	-2.2674830
-0.0091861	40.2446900	-10.4416300	-2.2386760
-0.0092471	40.1295100	-10.1809700	-2.2386760
-0.0093387	39.8127400	-10.1230500	-2.2098700
-0.0100711	39.7839500	-9.8623920	-2.2098700
-0.0114139	39.7839500	-9.8044680	-2.1810630
-0.0130314	39.9567300	-9.5438090	-2.1810630
-0.0146794	40.2159000	-9.4858860	-2.1522570
-0.0162053	40.4174700	-9.2831510	-2.1234510
-0.0171209	40.4462700	-9.2252260	-2.1234510
-0.0174566	40.3310800	-8.9645680	-2.1234510
-0.0177007	40.1295100	-8.9066440	-2.1234510
-0.0181890	40.1007100	-8.7039100	-2.1234510
-0.0187384	40.1007100	-8.6749480	-2.1234510
-0.0193487	40.3598800	-8.6170230	-2.1234510
-0.0202948	40.8494200	-8.5880610	-2.1234510
-0.0211188	41.1949800	-8.5590990	-2.1234510
-0.0213630	41.2237800	-8.5301370	-2.1234510
-0.0213630	41.2237800	-8.5011750	-2.1234510
-0.0213630	41.2237800	-8.4432510	-2.1522570
-0.0212104	41.2237800	-8.4142890	-2.2098700
-0.0211493	41.2237800	-8.3853260	-2.2098700
-0.0210883	41.2237800	-8.3563640	-2.2386760
